0step	0.0	0.0
1step	1.5884	3.0668
2step	1.4146	2.3194
3step	1.3045	1.7286
4step	1.2699	1.5388
5step	1.2759	1.316
6step	1.1615	1.4447
7step	1.1752	1.3945
8step	1.464	1.3067
9step	1.0515	1.1677
10step	0.9826	1.273
11step	1.0759	1.2653
12step	1.2131	1.2648
13step	1.0485	1.3001
14step	0.8519	1.1643
15step	1.1416	1.1458
16step	1.1607	1.0891
17step	0.8299	1.073
18step	1.1745	1.168
19step	0.92	1.0299
20step	1.133	1.1207
21step	0.8591	1.1412
22step	0.9642	1.0166
23step	0.8581	1.0003
24step	1.0349	1.084
25step	1.0107	1.0507
26step	0.8349	1.0978
27step	0.9082	1.0899
28step	0.9201	1.0919
29step	1.033	1.1091
30step	0.8342	1.0794
31step	0.7895	0.9114
32step	0.9124	1.0476
33step	0.7237	1.0297
34step	0.85	0.898
35step	0.9446	0.9865
36step	0.7877	0.9364
37step	1.1005	0.9883
38step	0.8044	1.0191
39step	0.9883	1.0361
40step	0.8455	0.9892
41step	0.8002	0.9718
42step	0.9935	0.9615
43step	0.7649	0.9899
44step	0.8898	0.881
45step	0.8659	0.9636
46step	0.7575	0.9348
47step	0.815	0.9074
48step	0.993	0.9718
49step	0.8949	0.9673
50step	1.0077	0.9298
51step	0.6897	0.8992
52step	0.7776	0.9589
53step	0.9318	0.8823
54step	0.9113	0.8918
55step	0.7133	0.858
56step	0.7785	0.9251
57step	0.8253	0.8208
58step	0.9573	0.8776
59step	1.0508	0.8586
60step	0.8516	0.8066
61step	0.9641	0.8021
62step	0.9828	0.8138
63step	0.7428	0.8891
64step	0.7845	0.8553
65step	0.7656	0.8417
66step	0.8585	0.8057
67step	1.0462	0.876
68step	0.8149	0.7898
69step	0.8327	0.7925
70step	0.806	0.8614
71step	0.8421	0.7793
72step	0.9509	0.8969
73step	0.9823	0.8098
74step	1.0326	0.8356
75step	0.8567	0.8367
76step	0.8744	0.8527
77step	0.8891	0.7839
78step	0.8966	0.7987
79step	0.68	0.7861
80step	0.6736	0.7966
81step	0.8762	0.8428
82step	0.7326	0.7926
83step	0.805	0.7365
84step	0.8009	0.7665
85step	0.8894	0.781
86step	0.9443	0.7488
87step	0.7229	0.8203
88step	0.8483	0.8667
89step	0.6886	0.7231
90step	0.7547	0.7507
91step	0.7613	0.7786
92step	0.8294	0.7237
93step	0.7234	0.77
94step	0.6646	0.8085
95step	0.8391	0.7503
96step	0.7354	0.7239
97step	0.6008	0.758
98step	0.7635	0.7631
99step	0.6984	0.7567
100step	0.7593	0.7901
101step	0.8211	0.7351
102step	0.726	0.767
103step	0.8046	0.6909
104step	0.9902	0.7561
105step	0.7763	0.7042
106step	0.896	0.6921
107step	0.6605	0.717
108step	0.9209	0.7203
109step	0.7441	0.651
110step	0.6225	0.6689
111step	0.6803	0.7145
112step	0.8278	0.7395
113step	0.7374	0.6923
114step	0.9924	0.718
115step	0.7235	0.6652
116step	0.6265	0.7142
117step	0.8249	0.6615
118step	0.8801	0.7331
119step	1.0233	0.7429
120step	0.9292	0.7112
121step	0.8221	0.7615
122step	0.7318	0.7165
123step	0.8001	0.7899
124step	0.9556	0.7245
125step	0.9537	0.7304
126step	0.8401	0.7446
127step	1.0336	0.705
128step	0.7839	0.7143
129step	0.6838	0.7525
130step	0.9448	0.7529
131step	0.7665	0.7035
132step	0.843	0.7138
133step	0.7904	0.7916
134step	0.6725	0.6778
135step	0.8665	0.686
136step	0.7743	0.7146
137step	0.7297	0.703
138step	0.8002	0.6904
139step	0.79	0.6513
140step	0.9093	0.7111
141step	0.7251	0.7371
142step	1.0311	0.7382
143step	0.6673	0.652
144step	0.7835	0.7488
145step	0.912	0.699
146step	0.997	0.7158
147step	0.8138	0.6385
148step	0.6992	0.6553
149step	0.7864	0.6791
150step	0.7271	0.6257
151step	0.648	0.6767
152step	0.8352	0.6313
153step	0.9075	0.6851
154step	0.6143	0.7155
155step	0.8336	0.6525
156step	0.6758	0.595
157step	0.7328	0.6511
158step	0.5901	0.62
159step	0.6663	0.6938
160step	0.7792	0.6245
161step	0.6787	0.6862
162step	0.6655	0.6407
163step	0.8198	0.7072
164step	0.6565	0.6699
165step	0.883	0.6172
166step	0.5805	0.6238
167step	0.7486	0.6634
168step	0.7413	0.7048
169step	0.7462	0.6646
170step	0.8063	0.7025
171step	0.6924	0.62
172step	0.6558	0.6928
173step	0.7562	0.7041
174step	0.7689	0.6433
175step	0.7029	0.6362
176step	0.8084	0.6669
177step	0.8994	0.6745
178step	0.7498	0.6812
179step	0.7428	0.6947
180step	0.7338	0.633
181step	0.5219	0.625
182step	0.7221	0.6748
183step	0.7338	0.6573
184step	0.5885	0.659
185step	0.6917	0.7081
186step	0.7421	0.6921
187step	0.6977	0.6641
188step	0.5987	0.6515
189step	0.7296	0.6634
190step	0.5683	0.618
191step	0.6617	0.6317
192step	0.5908	0.6664
193step	0.7698	0.675
194step	0.8494	0.7056
195step	0.6562	0.6326
196step	0.7755	0.697
197step	0.5989	0.6468
198step	0.6979	0.6687
0step	0.0	0.0
