0step	0.0	0.0
1step	1.545	2.0479
2step	1.0502	1.1108
3step	0.9694	0.9396
4step	0.9152	0.8391
5step	1.0909	0.7453
6step	0.9673	0.745
7step	0.8557	0.6322
8step	0.8733	0.5605
9step	0.8773	0.5407
10step	0.6614	0.556
11step	0.6794	0.5555
12step	0.8748	0.5511
13step	0.731	0.5257
14step	0.8205	0.5324
15step	0.954	0.4925
16step	0.7088	0.4812
17step	0.757	0.5295
18step	0.8213	0.4311
19step	0.7817	0.5024
20step	0.7928	0.4215
21step	0.6456	0.481
22step	0.6922	0.4165
23step	0.6355	0.4818
24step	0.6777	0.4379
25step	0.6916	0.4738
26step	0.8343	0.4116
27step	0.7195	0.4131
28step	0.7515	0.4298
29step	0.7006	0.4339
30step	0.9361	0.4454
31step	0.6564	0.4548
32step	0.6245	0.4438
33step	0.7312	0.4037
34step	0.7373	0.4378
35step	0.6571	0.4233
36step	0.8762	0.4683
37step	0.5978	0.4324
38step	0.6556	0.4077
39step	0.6775	0.3804
40step	0.4237	0.4294
41step	0.6492	0.3764
42step	0.6405	0.3877
43step	0.7318	0.3633
44step	0.7057	0.416
45step	0.8493	0.3958
46step	0.7486	0.3904
47step	0.6936	0.3914
48step	0.4862	0.3822
49step	0.7616	0.3761
50step	0.7002	0.3775
51step	0.4768	0.3795
52step	0.477	0.3655
53step	0.6468	0.3397
54step	0.808	0.3341
55step	0.7594	0.323
56step	0.4338	0.3376
57step	0.6037	0.3436
58step	0.7626	0.3212
59step	0.6749	0.3366
60step	0.5538	0.3491
61step	0.6746	0.3596
62step	0.779	0.3438
63step	0.7456	0.3475
64step	0.4384	0.3455
65step	0.5595	0.3478
66step	0.7222	0.3425
67step	0.5294	0.3415
68step	0.5352	0.3293
69step	0.4955	0.2964
70step	0.5289	0.3489
71step	0.5452	0.3102
72step	0.6176	0.4068
73step	0.6991	0.333
74step	0.4547	0.275
75step	0.5481	0.3411
76step	0.6156	0.3166
77step	0.7356	0.3338
78step	0.3909	0.2997
79step	0.6953	0.2943
80step	0.6409	0.3135
81step	0.4614	0.2913
82step	0.6337	0.2722
83step	0.483	0.3012
84step	0.7353	0.3094
85step	0.5285	0.3263
86step	0.7916	0.3047
87step	0.793	0.3429
88step	0.6276	0.2949
89step	0.4938	0.2568
90step	0.4999	0.2928
91step	0.6985	0.3246
92step	0.4571	0.2974
93step	0.7582	0.2528
94step	0.5905	0.3156
95step	0.692	0.3302
96step	0.6207	0.2707
97step	0.5931	0.274
98step	0.4013	0.2645
99step	0.6794	0.3564
100step	0.5652	0.2715
101step	0.7058	0.2869
102step	0.5552	0.2823
103step	0.5645	0.2998
104step	0.6487	0.3908
105step	0.423	0.2778
106step	0.4247	0.2668
107step	0.5064	0.2961
108step	0.4855	0.3004
109step	0.6129	0.2594
110step	0.5911	0.2781
111step	0.5181	0.2406
112step	0.5429	0.2496
113step	0.3445	0.2438
114step	0.3923	0.2786
115step	0.4143	0.2718
116step	0.4547	0.2673
117step	0.5337	0.2789
118step	0.4911	0.2646
119step	0.5683	0.2687
120step	0.4997	0.2333
121step	0.7025	0.241
